exp_id, norm1, norm2, 
1, 1207.61, 1118.35, 
2, 1204.37, 1123.52, 
3, 1197.79, 1123.24, 
4, 1211.82, 1125.06, 
5, 1210.58, 1125.20, 
6, 1216.71, 1122.93, 
7, 1222.48, 1127.23, 
8, 1224.65, 1129.09, 
9, 1253.70, 1124.15,
