norm,time,touch,x,y,z
468.497193926622,4231.0,1.0,117.68421052631578,51.73684210526316,-454.6315789473683
468.497193926622,4232.0,1.0,117.68421052631578,51.73684210526316,-454.6315789473683
468.497193926622,4233.0,1.0,117.68421052631578,51.73684210526316,-454.6315789473683
468.497193926622,4234.0,1.0,117.68421052631578,51.73684210526316,-454.6315789473683
468.137425359517,4235.0,1.0,115.68421052631578,55.73684210526316,-454.6315789473683
463.2438471259004,4236.0,1.0,115.68421052631578,55.73684210526316,-449.6315789473683
463.2438471259004,4237.0,1.0,115.68421052631578,55.73684210526316,-449.6315789473683
463.2438471259004,4238.0,1.0,115.68421052631578,55.73684210526316,-449.6315789473683
463.4492176481692,4239.0,1.0,116.68421052631578,55.73684210526316,-449.6315789473683
464.36627768418,4240.0,1.0,116.68421052631578,50.73684210526316,-450.6315789473683
464.36627768418,4241.0,1.0,116.68421052631578,50.73684210526316,-450.6315789473683
464.36627768418,4242.0,1.0,116.68421052631578,50.73684210526316,-450.6315789473683
464.36627768418,4243.0,1.0,116.68421052631578,50.73684210526316,-450.6315789473683
464.8264999567298,4244.0,1.0,118.68421052631578,54.73684210526316,-450.6315789473683
464.8264999567298,4245.0,1.0,118.68421052631578,54.73684210526316,-450.6315789473683
464.8264999567298,4246.0,1.0,118.68421052631578,54.73684210526316,-450.6315789473683
464.8264999567298,4247.0,1.0,118.68421052631578,54.73684210526316,-450.6315789473683
465.65834389769293,4248.0,1.0,122.68421052631578,54.73684210526316,-450.6315789473683
463.73057307337854,4249.0,1.0,122.68421052631578,56.73684210526316,-448.6315789473683
463.73057307337854,4250.0,1.0,122.68421052631578,56.73684210526316,-448.6315789473683
463.73057307337854,4251.0,1.0,122.68421052631578,56.73684210526316,-448.6315789473683
463.73057307337854,4252.0,1.0,122.68421052631578,56.73684210526316,-448.6315789473683
463.6775861822541,4253.0,1.0,122.68421052631578,52.73684210526316,-448.6315789473683
465.6331429108036,4254.0,1.0,122.68421052631578,52.73684210526316,-450.6315789473683
465.6331429108036,4255.0,1.0,122.68421052631578,52.73684210526316,-450.6315789473683
465.6331429108036,4256.0,1.0,122.68421052631578,52.73684210526316,-450.6315789473683
466.052687225455,4257.0,1.0,124.68421052631578,52.73684210526316,-450.6315789473683
465.1003634033789,4258.0,1.0,124.68421052631578,54.73684210526316,-449.6315789473683
465.1003634033789,4259.0,1.0,124.68421052631578,54.73684210526316,-449.6315789473683
465.1003634033789,4260.0,1.0,124.68421052631578,54.73684210526316,-449.6315789473683
465.1003634033789,4261.0,1.0,124.68421052631578,54.73684210526316,-449.6315789473683
463.4492176481692,4262.0,1.0,116.68421052631578,55.73684210526316,-449.6315789473683
463.4492176481692,4263.0,1.0,116.68421052631578,55.73684210526316,-449.6315789473683
463.4492176481692,4264.0,1.0,116.68421052631578,55.73684210526316,-449.6315789473683
463.4492176481692,4265.0,1.0,116.68421052631578,55.73684210526316,-449.6315789473683
464.90371595542,4266.0,1.0,123.68421052631578,55.73684210526316,-449.6315789473683
464.8318579228803,4267.0,1.0,123.68421052631578,49.73684210526316,-449.6315789473683
464.8318579228803,4268.0,1.0,123.68421052631578,49.73684210526316,-449.6315789473683
464.8318579228803,4269.0,1.0,123.68421052631578,49.73684210526316,-449.6315789473683
464.8318579228803,4270.0,1.0,123.68421052631578,49.73684210526316,-449.6315789473683
464.20485303592477,4271.0,1.0,120.68421052631578,49.73684210526316,-449.6315789473683
466.1610199972388,4272.0,1.0,120.68421052631578,49.73684210526316,-451.6315789473683
466.1610199972388,4273.0,1.0,120.68421052631578,49.73684210526316,-451.6315789473683
466.1610199972388,4274.0,1.0,120.68421052631578,49.73684210526316,-451.6315789473683
465.95348067428176,4275.0,1.0,119.68421052631578,49.73684210526316,-451.6315789473683
464.99668533460294,4276.0,1.0,119.68421052631578,51.73684210526316,-450.6315789473683
464.99668533460294,4277.0,1.0,119.68421052631578,51.73684210526316,-450.6315789473683
