exp_id, norm1, norm2, 
1, 1247.41, 989.86, 
2, 1233.44, 992.26, 
3, 1260.09, 984.13, 
4, 1302.82, 992.19, 
5, 1245.72, 978.57, 
6, 1351.20, 985.03, 
7, 1236.18, 992.62, 
8, 1292.51, 994.52, 
9, 1252.29, 990.93, 
10, 1258.98, 994.74,
